cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
encourage pop up conveyor use at 497 unload to reduce manual handling,1,1,MEDIUM,False,False,customer,encourage pop up conveyor use at 497 unload to reduce manual handling,"Nell Alden: But the 497 unload, we're still trying to get them to use the pop-up conveyor that we installed. | Nell Alden: But they're like, well, I haven't, I've done this for several years this way. Why would I change it?"
detect and reduce no stops rolling stops at stop signs pit vehicle intersections,1,1,MEDIUM,False,False,mixed,detect and reduce no stops rolling stops at stop signs pit vehicle intersections,"Morgan Hayes: So this is one of our areas that obviously is of most concern for many of our customers when it comes to vehicle safety and collision risk. | Morgan Hayes: And specifically with no stops here, you know, our system is designed to detect, you know, the full stop at these intersections. |"
year over year incident trend reporting and comparison,1,1,MEDIUM,False,False,customer,year over year incident trend reporting and comparison,"Unknown: see how we're trending in the different areas and see how there's some areas that we've seen notable improvements, some areas that we need to see improvement | Unknown: is there any way you can tell me from last year, this month, how much, like we have 47,000 right now, but how much we had "
slip trip and fall prevention with area controls,1,1,MEDIUM,False,False,mixed,slip trip and fall prevention with area controls,"Bailey Calloway: We've had falls in different situations like that, but, you know, but right now that's what we're really dealing with. | Hollis Sawyer: Here an individual stepping up on rollers, always a concern when you're standing on rollers for slip, trip, fall, sprained ankles."
role shift incident specific dashboards boards for operations,1,1,MEDIUM,False,False,mixed,role shift incident specific dashboards boards for operations,"Hollis Sawyer: let's get that up so that if Solomon does join the next one, we've got some boards to show them that are role-specific, shift-specific, incident-specific. | Hollis Sawyer: The boards are the personalized dashboards based on shift, based on incident type, based on camera. | Cameron Loc"
baseline and trend safety events before after to measure impact,1,1,MEDIUM,False,False,mixed,baseline and trend safety events before after to measure impact,"Harper Iverson: are you guys going to set this up in like a monitor thing where you're, before it actually goes live, where you can show the difference between the before and after? | Noel Monroe: we do strive to capture what it looked like when we started, and then, let's say, several months later "
safety program analytics and workflow management,1,1,MEDIUM,False,False,mixed,safety program analytics and workflow management,"Blake Sinclair: being able to map stuff out, being able to assign things to supervisors and stuff for actioning, just so far been a very helpful tool. | Hollis Sawyer: I've got a 50-60% increase in no stops. So why don't we drill into that for this morning's pre-coach? | Hollis Sawyer: But now the h"
ai governance and security compliance review,1,1,MEDIUM,False,False,customer,ai governance and security compliance review,"Stevie Yates: Like, I learned that we have an AI board now who review AI things. | Stevie Yates: we have basically a security and AI questionnaire. | Stevie Yates: And because it, it all, it all goes, I guess gets reviewed by them."
action management workflow with ownership cross shift follow up timelines and impact markers,1,1,MEDIUM,False,False,mixed,action management workflow with ownership cross shift follow up timelines and impact markers,"Jordan Briar: you kind of can assign it to one single person so they can do it rather than a group. | Jordan Briar: if someone's off, you know, the other ship members can take care of it. They see it, you know, they can follow by, follow through, follow up. | Jordan Briar: I like the create a timeli"
working at heights on ulds detection,1,1,MEDIUM,False,False,customer,working at heights on ulds detection,"Alden Carver: One of our big concerns is a lot of times these guys don't want to use ladders, right? | Alden Carver: So they just climb on top of these ULD, these unit load devices with all this cargo, and they throw cargo from the top down to the guys and eventually gets low enough and everybody op"
safety incident triage and supervisor assignment workflow,1,1,MEDIUM,False,False,mixed,safety incident triage and supervisor assignment workflow,"Blake Sinclair: It is a good tool for, especially. For Health & Safety type things, even just giving you visibility, being able to map stuff out, being able to assign things to supervisors and stuff for actioning, just so far been a very helpful tool. | Hollis Sawyer: it's a platform that allows you"
reduce manual video review workload,1,1,MEDIUM,False,False,customer,reduce manual video review workload,Elliot Calloway: It prevents you from having to go through a ton of video to find it.
fatigue monitoring inquiry not supported by voxel,1,1,MEDIUM,False,False,mixed,fatigue monitoring inquiry not supported by voxel,"Indigo Vaughn: Next one's fatigue monitoring. | Indigo Vaughn: We don't do fatigue monitoring. | Wyatt Quincy: So sometimes if the person's feeling fatigues and they still carry on with the job, they'll cause injuries to them as well."
lockout tagout loto compliance in robotic palletizing cells,1,1,MEDIUM,False,False,mixed,lockout tagout loto compliance in robotic palletizing cells,"Finley Tatum: That area, mean, that robotic palletizing area is of interest to me. | Riley Winslow: You know, if people are taking the right energy isolation protocols when they're entering into that space. | Arielle Sterling: So the nice piece, all of this, you won't have to do lotto, it's just the"
select scalable multi domain solutions within budget constraints,1,1,MEDIUM,False,False,customer,select scalable multi domain solutions within budget constraints,"Cleo Corbett: they're challenged on their budgetary spends, they're challenged on the solutions, the scalability of solutions that they're going after. | Cleo Corbett: is this a one-trick pony? Like, does Voxel just do X versus doing Y? | Cleo Corbett: Are the solutions you're looking at, are you no"
